'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;0.36776157269965576;0.5362131965153767;0.7046648203310977;0.8731164441468187;1.1322554457947314;1.3913944474426438;1.6505334490905565;1.3776293428200213;1.104725236549486;0.8318211302789508;0.6771346110858525;0.5224480918927541
1;0.4319183447931302;0.594033658781774;0.7561489727704178;0.9182642867590617;1.245507465833841;1.5727506449086204;1.8999938239833996;1.4672755118416563;1.034557199699913;0.6018388875581695;0.5451987066364897;0.48855852571480995
2;0.2771318122139904;0.6882327932637415;1.0993337743134928;1.5104347553632438;1.4568542860577736;1.4032738167523036;1.3496933474468333;1.205198025991385;1.0607027045359367;0.9162073830804884;0.7031821927916557;0.49015700250282307
3;0.2416219089151873;0.5292970403439436;0.8169721717727001;1.1046473032014565;1.1577495313574426;1.2108517595134287;1.2639539876694148;0.9695172203131104;0.6750804529568059;0.38064368560050127;0.33430309337206326;0.2879625011436253
4;0.19288111144077286;0.4526837348480137;0.7124863582552545;0.9722889816624954;1.0142720732622343;1.0562551648619731;1.098238256461712;0.8416999026211767;0.5851615487806415;0.32862319494010644;0.28337583377366193;0.23812847260721737
5;0.17436802082954808;0.2055035907405278;0.23663916065150747;0.2677747305624872;0.5163289596449083;0.7648831887273295;1.0134374178097507;0.7727997980945351;0.5321621783793196;0.2915245586641039;0.25247237938591865;0.21342020010773338
6;0.41243876677720204;0.37036429789234643;0.32828982900749076;0.28621536012263515;0.47857927785201615;0.6709431955813971;0.8633071133107781;0.7268011402817293;0.5902951672526804;0.4537891942236316;0.4400057184081551;0.42622224259267855
7;1.178873616385588;1.0346532769190797;0.8904329374525717;0.7462125979860634;0.7669823654321708;0.7877521328782783;0.8085219003243856;0.8543433174181856;0.9001647345119856;0.9459861516057856;1.0236153065323863;1.1012444614589871
8;1.4233426901241624;1.5465619273538074;1.6697811645834524;1.7930004018130974;1.5833092678790812;1.373618133945065;1.1639270000110489;0.9516603233876192;0.7393936467641895;0.5271269701407598;0.8258655434685607;1.1246041167963616
9;2.110351053217032;1.693565177664678;1.276779302112324;0.8599934265599698;1.0537491633255136;1.2475049000910574;1.4412606368566012;1.1411786018506551;0.8410965668447091;0.541014531838763;1.0641267056315193;1.5872388794242758
10;1.8125017607923846;1.6737308971030107;1.534960033413637;1.3961891697242632;1.6368700109579877;1.877550852191712;2.1182316934254364;1.7922035071785944;1.4661753209317525;1.1401471346849108;1.3642653433874021;1.5883835520898932
11;0.9668604460170683;1.0466859419800534;1.1265114379430383;1.2063369339060233;1.4357620148823533;1.6651870958586834;1.8946121768350135;1.78124444991078;1.6678767229865463;1.5545089960623129;1.3586261460472313;1.1627432960321498
12;0.9002392354885194;1.1359484660491364;1.3716576966097531;1.60736692717037;1.6635720999326375;1.7197772726949048;1.7759824454571722;1.4328518739985945;1.0897213025400168;0.746590731081439;0.7978068992171324;0.849023067352826
13;1.0360766848287997;1.1514234203725628;1.2667701559163258;1.382116891460089;1.7788539293729702;2.1755909672858516;2.5723280051987327;2.2966005577743083;2.020873110349884;1.7451456629254594;1.5087893368932395;1.2724330108610196
14;1.6516751054165295;1.521128134269071;1.3905811631216123;1.2600341919741538;1.9809833241953;2.7019324564164466;3.422881588637593;3.1349826740665243;2.847083759495455;2.559184844924386;2.256681598421767;1.9541783519191482
15;1.514159294742406;1.346982447333234;1.1798055999240615;1.0126287525148894;1.2283039118669807;1.4439790712190723;1.6596542305711637;1.5921655525399694;1.5246768745087753;1.457188196477581;1.4761785625658561;1.495168928654131
16;0.9074247854058825;0.795453962367052;0.6834831393282217;0.5715123162893913;0.8820975730753571;1.192682829861323;1.503268086647289;1.3359789177622;1.1686897488771106;1.0014005799920216;0.9700753151299752;0.9387500502679288
17;2.5772595732644024;1.8599917988468118;1.1427240244292212;0.4254562500116307;0.8963486672886969;1.367241084565763;1.838133501842829;1.7210710498794666;1.604008597916104;1.4869461459527415;1.8503839550566286;2.2138217641605156
18;0.9844170293795371;0.819268695373169;0.654120361366801;0.4889720273604329;0.7279510016855698;0.9669299760107068;1.2059089503358438;1.0360528068581143;0.8661966633803848;0.6963405199026554;0.792366023061616;0.8883915262205766
19;1.2609436905677085;1.064606911388044;0.8682701322083799;0.6719333530287156;0.8436039106681588;1.0152744683076018;1.186945025947045;1.0680790088254173;0.9492129917037894;0.8303469745821614;0.9738792132440105;1.1174114519058596
20;1.489226823045321;1.4349356909851105;1.3806445589249;1.3263534268646895;1.4044530584948551;1.482552690125021;1.5606523217551866;1.4743331282536214;1.388013934752056;1.3016947412504907;1.3642054351821007;1.426716129113711
21;1.4142970358936127;1.5262965881302515;1.6382961403668905;1.7502956926035294;1.6543478338043567;1.558399975005184;1.4624521162060113;1.4255585991176747;1.388665082029338;1.3517715649410014;1.3726133885918719;1.3934552122427422
22;1.0665316064423311;1.0737505128468001;1.0809694192512693;1.0881883256557383;1.4374077799654505;1.786627234275163;2.1358466885848753;1.948810053287337;1.7617734179897988;1.5747367826922605;1.4053350572756174;1.2359333318589742
23;0.6033411542906614;0.7469676671764153;0.8905941800621693;1.0342206929479232;1.2383897902912198;1.4425588876345163;1.646727984977813;1.5849129015237193;1.5230978180696255;1.461282734615532;1.175302207840575;0.8893216810656183
