'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;0.4155019532475332;0.4993089900541129;0.5831160268606925;0.6669230636672723;1.198327923863331;1.7297327840593897;2.2611376442554483;1.8787375091938237;1.496337374132199;1.1139372390705744;0.8811254771295607;0.648313715188547
1;0.7608941805989224;0.6572816713709253;0.5536691621429283;0.45005665291493113;0.7950228372218848;1.1399890215288386;1.4849552058357922;1.3617746723897612;1.2385941389437305;1.1154136054976995;0.9972404638647738;0.8790673222318481
2;0.2771347720001163;0.323001601375723;0.36886843075132963;0.4147352601269363;0.7225606428044167;1.030386025481897;1.3382114081593777;1.0376264089722544;0.7370414097851313;0.43645641059800827;0.3833491977320443;0.3302419848660803
3;0.20476391427388005;0.2575333626648693;0.31030281105585855;0.36307225944684784;0.6024598384213845;0.8418474173959212;1.0812349963704577;0.8319846813653285;0.5827343663601994;0.33348405135507037;0.2905773389946736;0.2476706266342768
4;0.16884246847311368;0.23269996468658;0.2965574609000463;0.36041495711351257;0.5891997129664774;0.8179844688194423;1.0467692246724072;0.8558971971221204;0.6650251695718337;0.47415314202154685;0.3723829175054025;0.27061269298925805
5;0.22191558009704654;0.4270052422062281;0.6320949043154096;0.8371845664245912;0.8786622374328271;0.9201399084410631;0.961617579449299;0.8187315371934204;0.6758454949375419;0.5329594526816632;0.42927816182012435;0.32559687095858547
6;0.30077088975723926;0.5957624529201851;0.8907540160831311;1.185745579246077;1.0820810497488556;0.9784165202516341;0.8747519907544127;1.0880906664588668;1.301429342163321;1.514768017867775;1.1101023084975963;0.7054365991274177
7;0.3736112627562288;0.7372396186721294;1.1008679745880299;1.4644963305039305;1.2312167813237114;0.9979372321434925;0.7646576829632734;0.9046906813544632;1.044723679745653;1.1847566781368426;0.9143748730099713;0.6439930678831001
8;1.3317189693832683;1.2506029729736146;1.1694869765639606;1.0883709801543069;1.027385997861801;0.9664010155692953;0.9054160332767894;0.9767561800197638;1.0480963267627383;1.1194364735057127;1.190197305464898;1.260958137424083
9;1.4673469072840282;1.3920539956280176;1.316761083972007;1.2414681723159964;1.2870988619865247;1.3327295516570532;1.3783602413275815;1.1247006198639804;0.8710409984003794;0.6173813769367784;0.9007032203858616;1.184025063834945
10;1.5825941347086778;1.316315640660538;1.0500371466123983;0.7837586525642586;1.0497388891090327;1.3157191256538066;1.5816993621985806;1.2160050522424286;0.8503107422862765;0.4846164323301243;0.8506089997896422;1.21660156724916
11;1.4694751792669862;1.193574756293335;0.917674333319684;0.6417739103460328;1.2212005844380152;1.8006272585299974;2.38005393262198;1.7891723468913545;1.1982907611607292;0.6074091754301039;0.894764510042398;1.182119844654692
12;0.7235751453810197;0.8590775204403441;0.9945798954996685;1.130082270558993;1.7263475161739388;2.3226127617888848;2.9188780074038307;2.149550852003098;1.380223696602365;0.6108965412016323;0.6484560759280947;0.6860156106545573
13;1.3046961093891332;1.4493964229231602;1.594096736457187;1.738797049991214;2.078348929438823;2.4179008088864316;2.7574526883340402;2.16578286754115;1.5741130467482598;0.9824432259553697;1.0898608537666241;1.1972784815778788
14;0.7493304767585185;1.1183726156794989;1.4874147546004792;1.8564568935214598;1.9698132989505421;2.0831697043796242;2.1965261098087066;2.025728648940327;1.8549311880719472;1.6841337272035677;1.3725326437218845;1.0609315602402014
15;1.0296798185112326;0.9138515412492143;0.7980232639871959;0.6821949867251776;0.9994683456773721;1.3167417046295664;1.6340150635817607;1.3416676706522572;1.0493202777227537;0.7569728847932502;0.8478751960325777;0.9387775072719051
16;0.6375643874203446;0.6135042763588289;0.5894441652973132;0.5653840542357975;0.7908075664257589;1.0162310786157203;1.2416545908056815;1.4988550202637385;1.7560554497217955;2.0132558791798525;1.5546920485933498;1.096128218006847
17;1.1199475265275805;0.9156763420932651;0.7114051576589497;0.5071339732246344;0.8911495082257446;1.2751650432268546;1.6591805782279647;1.8936159216985367;2.1280512651691086;2.3624866086396805;1.9483069146023138;1.534127220564947
18;1.9602082576699462;1.7514047265093071;1.5426011953486678;1.3337976641880287;1.4541468939106494;1.5744961236332702;1.694845353355891;1.6630488946870263;1.6312524360181617;1.5994559773492971;1.71970673745618;1.8399574975630633
19;2.1221597840106234;1.7645139593189711;1.4068681346273189;1.0492223099356668;1.090808457874454;1.1323946058132408;1.173980753752028;1.1975699241983462;1.2211590946446642;1.2447482650909825;1.5372187713975294;1.8296892777040763
20;2.303946225467056;2.194375465251821;2.0848047050365857;1.9752339448213507;1.7548593636634289;1.5344847825055068;1.314110201347585;1.22329915983453;1.132488118321475;1.04167707680842;1.462433459694632;1.883189842580844
21;2.2838463672279623;2.0590391027389594;1.8342318382499567;1.609424573760954;1.6019115758200497;1.5943985778791452;1.5868855799382409;1.4222355501357824;1.257585520333324;1.0929354905308655;1.4899057827632312;1.8868760749955968
22;1.4599482744021202;1.3478434991435893;1.2357387238850581;1.1236339486265272;1.4227418126051665;1.7218496765838058;2.020957540562445;1.6037446441974914;1.1865317478325377;0.7693188514675837;0.9995286591124292;1.2297384667572746
23;0.5879251958291069;0.9051975114012243;1.2224698269733416;1.539742142545459;1.7511026174988504;1.9624630924522417;2.173823567405633;1.7252952276143123;1.2767668878229914;0.8282385480316707;0.7481340972974828;0.6680296465632948
