'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0.0;5.89016409174562;5.75464250798645;7.60463316085394;8.07130814273856;8.19165263987918;9.19592635064932;7.3539369589412;5.67865810272182;4.66078337758288;4.23859955335567;6.4229600518823;6.79676564053192
1.0;5.73323865093149;5.77368048258447;7.36275154557011;7.89671956987343;8.00316490693045;8.87546007669376;6.85100792579915;5.12487930026153;4.60031227468981;4.33556925337113;6.42895031909991;6.59841481346977
2.0;6.01501796275606;5.91206991981139;7.57866989997703;8.14884535387424;8.20871295977605;8.77092255950595;6.7034598184146;5.04159991438323;4.64293308673279;4.34642106488375;6.50098465580579;7.53741589641197
3.0;6.00706195067991;5.87034153543298;7.57622842604862;7.87078472375242;8.1487147173438;6.08879733131134;5.87743676388583;5.1351621740895;4.63918244749723;4.64569368424416;6.44716876012362;6.95421299043566
4.0;5.68109077831659;5.73047475802053;7.38936405491763;8.22383912288156;7.98124620726215;4.6266247360201;5.06162824971861;4.49240097081318;4.20878567962623;4.22486842318832;6.45210801556567;7.04827891272736
5.0;5.89447921345032;5.81762207921654;7.37910058557904;7.59738132242822;7.91113747188749;4.85750987713218;3.78097966707377;4.36460484973753;4.19297032331967;4.19086389576911;6.21732779409663;6.65903271954772
6.0;5.23501148796161;5.30349478639117;7.33187733906991;7.96726712213844;5.91301932162354;4.71697110600738;3.58782005703745;4.3250796618906;4.25588423253616;4.44252412149623;6.43798256736877;6.86264328100291
7.0;4.77135310262012;5.05255504658696;7.01489851731405;7.98928231358528;5.13872951557306;4.55674151171999;4.03020246076137;4.66297000626654;4.41305817845821;4.65823608438138;6.00196696378828;6.20737450047244
8.0;5.29697907421506;4.78414599297843;6.88176351397363;8.3334838162259;5.24896271430546;4.81110267060106;3.93701795154045;4.74867850677574;4.64479366851246;6.0283368378347;5.73824094713452;5.58158830802606
9.0;6.3513004228208;5.2966535341891;7.45115202799286;9.61270768098827;7.86395787262154;7.64025231138188;6.59589179788524;8.47247653692324;7.56599606587349;7.65941649158182;7.02618150883776;6.44360964386408
10.0;6.67940142329416;5.77086165121611;8.02155402063799;10.0993317328526;8.40267044450268;8.78075778314535;8.27060477632045;10.6204088300324;9.32103966284489;8.68832246146055;6.7841618640219;6.3453755655788
11.0;7.88627357112793;6.98035320222346;9.70670410604792;11.0136526648434;8.76131251224701;8.81836953246318;7.92612385901115;10.9897335049956;9.85835427193209;8.7071771235279;7.69368333207627;7.37665193020777
12.0;7.3419843851247;7.40870304302785;9.53265589604591;9.30019302986146;6.68688023921213;5.63503183628038;4.84038192986135;5.92570270725673;5.27934815734435;6.97678728007943;8.07626540291319;8.43369841740758
13.0;6.17430451133368;6.07548093934601;8.26111103158737;8.48698362732876;5.58564699976952;5.1572628678041;3.95591148804628;5.35449325186057;4.26705686992221;5.57780170466097;6.3394173504071;7.01906039381383
14.0;4.90163887447361;4.85003676440769;7.34850771406151;9.83338337727418;5.71951992522975;5.48944992415926;4.6091119310208;4.9367885957283;4.69706671280434;6.46815058074641;5.29608785535538;5.90838105918898
15.0;5.75816145034328;6.20258538463206;8.11411545396054;11.4661293383302;8.232078655646;8.60388848023684;8.13234321501245;10.0413119823052;8.84521595285582;8.79537039085299;6.61206265006833;6.76491830712831
16.0;8.44080180894624;7.8488256139476;9.49254312600196;10.1288221040283;8.78231181263615;9.20110730329393;9.66236271661152;10.8270607169187;10.081398110615;7.41280322578527;8.21083866602733;7.97893988881098
17.0;7.22720561140655;6.88948367231575;8.68039592704424;8.09746830446474;8.83937937865863;9.31593118848935;10.2250503897532;11.1722280556308;10.1043321085503;5.33854057056629;7.86922064558963;7.74587222441485
18.0;6.00193558434483;5.31174322174719;6.99363537449;7.81822710035757;8.1607193541919;9.78656882280237;10.8851721996736;10.4035634143426;10.179709208397;4.27536941350257;6.71170489780329;6.68180805128808
19.0;5.75785123549993;5.43594764963407;7.12202163090995;7.99810157861645;5.78475640821112;9.52265581640015;9.02299193174161;7.401340987144;5.83643522983687;4.64344238195761;6.23063603908895;6.84793517755113
20.0;6.01326508107233;5.70663425264289;7.16342219305343;8.09758853938786;5.3321941186137;9.48167908643107;9.25994889678452;5.43131696568408;4.85490891031303;4.63887057409521;6.71465421765348;6.91852525546177
21.0;5.68803643531427;5.72009134092722;7.40062154136467;7.98022096369613;7.42212086331412;9.31127040600182;9.4437958716166;5.44970457622539;4.54191729137765;4.44665842729777;6.36177688724891;7.08930258012371
22.0;6.1287354635394;5.98113213137175;7.62582634161537;8.35310211278189;8.40560400539263;9.31672490085368;10.1168757665171;6.00339860282029;4.9396494184664;4.78710781872237;6.49818989380102;6.97110044206441
23.0;5.87131687315057;5.86426638914526;7.62125437729767;8.07901649101706;8.21505904897909;8.63592274872195;8.73904157404783;6.42773943073451;4.53225710829646;4.4483090627646;6.4303286255559;7.10360990539959
