'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;5,569493691;5,418406985;6,945669206;7,475844056;7,367615982;8,780481919;6,727318921;5,130710364;4,19700814;4,265483665;5,912150685;6,0629547
1;5,7992995;5,289985855;6,96608987;7,21623688;7,30416406;8,480967331;6,254052078;4,695103019;3,93713436;4,239392603;5,84247272;5,954609245
2;5,810433274;5,452509177;7,137481174;7,547122808;7,495115184;8,354109475;5,797184009;4,606881785;4,085555305;4,46174662;5,900462675;6,181586549
3;5,894742291;5,471385508;7,049187266;7,470775468;7,479361792;6,161721598;5,517888981;4,471649163;4,151053255;4,479817116;5,904700627;6,189692494
4;5,652857832;5,279227823;7,061592068;7,248425986;7,350557836;4,907227364;4,870030664;4,05738249;3,67942116;4,264991913;5,992675876;6,276494831
5;5,734081044;5,258935586;6,817081122;7,297184973;7,168968077;4,662018148;4,043918572;3,586236176;3,89354706;4,424043023;6,153477092;6,138038569
6;5,527123506;5,311024003;6,821401124;7,289613622;5,928215282;4,185416106;4,24410624;4,807180968;6,029376751;6,899626349;6,348091115;6,706944691
7;8,267622663;8,550242432;7,033733437;8,074087409;6,560122606;5,318525314;5,529204276;7,973678779;13,0718094;12,30757648;8,088667633;7,906261005
8;12,81054009;12,52811763;9,426920146;9,128907943;7,284153712;5,934367639;5,770944171;9,268028881;15,73130044;18,35201022;14,25222513;12,85027074
9;15,2682626;14,91494273;11,78723469;9,810517203;8,774726294;7,688078317;6,486065034;11,24838412;16,10417955;19,51430977;18,24717561;16,07838846
10;16,06494194;14,87659103;12,71528868;9,862400513;8,457569409;7,552912418;6,454594259;10,05277173;16,29209056;18,47120872;15,84306481;14,60100645
11;16,4594964;16,0899361;12,69807184;9,902176379;8,482888937;7,351160503;6,478938217;8,264357538;18,8763721;19,32464306;16,49549901;15,18072883
12;17,49430334;14,71779803;12,26558545;9,639733377;10,34388492;5,104566374;4,864767021;4,723903754;13,9591313;18,20746078;19,20574912;17,47098991
13;16,34247438;14,4057311;11,65989951;8,323742855;12,29968933;4,781091762;4,633597159;4,437167205;13,12327255;13,28245508;17,61056727;16,75354627
14;12,65764357;11,66689247;9,755518112;9,075874635;11,90230322;5,105721799;4,851972202;5,207958283;9,848783539;13,14473043;14,02687228;12,11053932
15;14,77735516;12,19086035;10,16328007;9,114725043;9,123401062;6,09183701;6,235330418;7,598805403;11,28722201;13,88768537;14,32529145;12,84813983
16;14,23813184;12,80672663;9,204262965;8,179709957;7,079380004;6,198660056;6,43917053;7,923695608;8,964105643;13,90310438;14,35504857;13,27153981
17;12,05437548;8,81548371;7,770886537;6,94768923;6,813248784;6,382785118;7,053768097;7,806197441;6,966106449;8,747594651;15,18185457;13,85244384
18;7,080608331;5,500339817;6,417805806;6,6017341;6,567402737;7,865772009;7,7347338;7,876179919;6,715664637;5,223748208;7,000228803;7,863427825
19;6,595854876;5,519481707;6,625229482;7,016185186;5,527757678;7,877918803;6,472803611;5,461161901;4,805463029;4,701048072;6,17001904;6,422552548
20;6,388721124;5,701734387;6,835846737;7,107126992;5,310361871;8,056614122;6,93209087;5,46419811;4,708676374;4,666298661;6,092219251;6,355446675
21;6,127971198;5,692718358;6,800662019;7,038743004;6,881529107;8,666441235;7,065183112;5,252224804;4,400906043;4,466114322;5,924172307;6,167450684
22;6,186258398;5,728157942;6,943107124;7,22002965;7,634500476;9,081318088;7,551600847;5,95479779;4,602144997;4,60284554;6,002690289;6,155260527
23;5,961847485;5,513686114;6,804713795;7,245450306;7,49057563;9,279584477;7,339625239;5,705297005;4,351723353;4,392165421;5,831825865;6,08390176
