'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;5,335293561;5,212538504;6,888254675;7,310967521;7,419975217;8,329643434;6,661174782;5,14371205;4,221724074;3,83931119;5,817898598;6,156490616
1;5,193150952;5,229783046;6,669159009;7,152825697;7,249243575;8,039366011;6,205623121;4,642100815;4,166949524;3,927146063;5,823324564;5,976825012
2;5,448385836;5,355135797;6,864737228;7,381200502;7,435428406;7,944676231;6,071974473;4,566666589;4,205555332;3,936975602;5,888573058;6,827369471
3;5,441179303;5,317338347;6,862525748;7,129333989;7,381082172;5,515214974;5,323765185;4,651415013;4,202158014;4,208055873;5,839826775;6,29910597
4;5,14591556;5,190647426;6,693264542;7,44912964;7,22938968;4,190783275;4,584808197;4,069203778;3,812305869;3,826873572;5,844300739;6,384310609
5;5,339202186;5,269585217;6,683967922;6,88168598;7,165885391;4,399918367;3,424800423;3,953446422;3,797980365;3,796072369;5,631637495;6,031732536
6;4,741858232;4,803890205;6,641193242;7,216727466;5,355995762;4,272618755;3,249837008;3,917644621;3,854967602;4,024025472;5,831505949;6,216162392
7;4,32187781;4,576589716;6,354074744;7,236668762;4,6546463;4,127483253;3,650545707;4,223704716;3,997335307;4,219416743;5,436564279;5,62262183
8;4,797988292;4,333465573;6,233481444;7,548445486;4,754495212;4,357882854;3,566139449;4,301339227;4,207240642;5,460450034;5,197682017;5,055786511
9;5,752989513;4,797693419;6,749231909;8,707162755;7,123150247;6,920518398;5,974539672;7,674344689;6,853257306;6,937877257;6,364294845;5,836602938
10;6,050182449;5,227229757;7,265900381;9,14794541;7,611114533;7,953584949;7,491489834;9,619935534;8,442970709;7,869857302;6,145074152;5,747622795
11;7,143363742;6,322783698;8,792304444;9,97613466;7,935971478;7,987653562;7,179460017;9,954468755;8,929668725;7,8869358;6,968916062;6,681749937
12;6,650348175;6,710781742;8,63465208;8,424087889;6,056956738;5,104195504;4,384403922;5,367484336;4,782018258;6,319553696;7,315457792;7,639219581
13;5,59266713;5,503153025;7,482890427;7,68748517;5,059462862;4,671433757;3,583253159;4,850084467;3,865087744;5,052356617;5,742225861;6,35784456
14;4,439890285;4,393149243;6,656256987;8,907050161;5,18072457;4,97232783;4,174920227;4,4717288;4,254589414;5,858832048;4,797181028;5,351794438
15;5,215725951;5,618283863;7,349742259;10,38598672;7,456592985;7,793377247;7,366252912;9,095391288;8,011970972;7,966821006;5,989187183;6,127643394
16;7,645653812;7,109443491;8,598318049;9,174657703;7,954992584;8,334336325;8,752140142;9,807120215;9,131701187;6,714495676;7,437353864;7,227300624
17;6,546381894;6,240474341;7,86267747;7,334663319;8,00668422;8,438343468;9,261821005;10,11977179;9,152474736;4,835634575;7,127917251;7,016188609
18;5,436535855;4,811361614;6,334814651;7,081727446;7,391955937;8,864645673;9,859757427;9,423517585;9,220751095;3,872617222;6,079442842;6,052362365
19;5,21544496;4,923865625;6,45110655;7,244657227;5,239815587;8,625594037;8,172999938;6,704113213;5,286626114;4,20601665;5,643692064;6,202839835
20;5,446798081;5,169052765;6,488607059;7,334772228;4,829885977;8,588477433;8,38763487;4,919671165;4,397562419;4,20187552;6,082114328;6,266780123
21;5,152206916;5,181242157;6,703461541;7,228461018;6,722935565;8,434121745;8,554162927;4,936326609;4,114055518;4,027770315;5,762479065;6,421469728
22;5,551390818;5,417692148;6,907451396;7,566215682;7,613771744;8,43906241;9,163836745;5,437861053;4,474320125;4,336148387;5,88604157;6,314402574
23;5,318221805;5,311835497;6,903310124;7,31794972;7,441176675;7,822393794;7,915798527;5,822227745;4,105305352;4,029265455;5,82457303;6,434429262
