'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;11,1410484761;11,0047220770;12,4558764631;14,0715519948;13,1305935034;14,4905990900;12,8390648584;11,1048129971;9,5453352405;9,8423128530;11,4888254513;11,7400918089
1;11,5189186185;11,0817921016;12,6289960219;13,6967682952;12,7604039430;14,0561199403;12,1253413771;10,3667072090;9,1728701862;9,6459167230;11,4181327154;11,8311488819
2;11,3510836656;11,0175140752;12,5742383300;14,0454127186;13,0233115659;13,9287546996;11,7143586111;10,1939217143;9,2720022477;9,9379811049;11,2828087689;11,6420700205
3;11,5917596891;11,0947397470;12,5120385374;14,1278770605;12,9296053007;11,7997900179;11,3600587602;10,2012402751;9,3993529149;9,9485511186;11,6361279914;11,9008244357
4;12,2336486354;11,7960880452;13,0902990520;14,9745889682;14,8317273908;11,3804524275;11,3709192704;10,5620654588;9,9623041521;10,9695406746;11,7905707494;12,0003114116
5;14,1898921468;13,4232767438;14,4757038373;15,9153317822;15,7493192741;11,8836369226;11,3795667381;11,3236244601;11,7270969893;13,4691834647;14,5019992106;14,5388214015
6;15,3759386206;15,1923579193;16,3708807181;19,5421632471;19,2618467224;16,4037679441;16,1704201814;17,0917103809;19,1363540062;21,2965815106;16,0599582523;17,1108857420
7;23,6497080149;24,0787777089;20,1919324732;21,3471923633;19,6622017240;18,2949111894;19,3948605678;21,6861361440;27,0843490854;27,8348984415;23,8668366086;24,1664462690
8;28,4707649883;27,8029601189;23,7284279939;22,3853706506;20,9429731750;20,9661724462;22,3241556300;23,8454578322;29,6583094136;33,8824206158;30,4535536679;29,6533585570
9;31,7453782554;30,8493864628;26,8677001896;22,3799798530;21,1304873688;21,1794605424;21,8546414959;24,9410292866;28,7559594708;33,6235993787;34,3992877448;33,2107695133
10;30,9087373299;29,1782680087;26,4736523618;22,4059864998;21,3686870499;21,0605309815;22,0036235012;23,6076979601;27,8628976119;31,7280905750;30,8763917756;30,3705498704
11;30,7811459141;29,7091794918;26,1346081048;22,0753709014;20,5655843246;20,2352022046;21,8082474479;21,8632571815;30,3036615190;31,8989810188;30,9833864913;30,1841200447
12;31,1254472227;27,4135996816;24,7815793310;21,3846944815;21,2683574377;17,4553458452;19,0972410176;17,3582875959;24,1749772730;29,5746623024;33,2319157307;31,9061092882
13;28,3771987640;26,4130105419;23,1901157132;18,8829438895;21,1674052615;15,0099847920;17,1074286605;14,8351887574;21,7961831734;23,1883861647;29,8213083272;29,2905362394
14;22,7633802886;21,7349442765;19,2953332195;20,3200461843;21,7935542134;16,5594435876;18,1120307299;16,5415021760;18,9058575218;23,3131783955;24,4866257447;23,2466377471
15;25,7783967659;22,7429579908;20,6400671936;21,5431345052;21,1281435760;20,1220627074;21,8240680956;22,0196696643;22,9918822018;26,3358387504;25,8632392405;25,2780714544
16;28,2738004024;26,2138828558;21,9459226124;20,6365330112;19,6210287000;19,4992653085;21,4605187818;21,2891978904;20,0106142724;26,7624606692;29,8460373163;28,9304731748
17;27,2007571681;22,4682145461;20,5826137151;19,0427463755;18,6408676099;19,3809885724;21,8461310363;21,3157005795;17,6530961621;21,6453357631;30,8595612037;29,7965278973
18;21,5000448847;19,6751704011;19,4895076840;17,9663589830;18,5246355121;20,7442324698;21,9832500043;21,1382721911;17,9467649678;18,2975300517;21,9315712673;22,9221240667
19;21,0125238716;19,6339334090;20,1719408958;17,5578306798;14,4752715220;17,9383598247;17,9042269066;16,1370374542;14,0321487578;15,6680768009;20,6391332532;21,0154688395
20;17,3934528123;16,7520846498;18,3723448564;16,3980670624;12,8062917333;16,3087329835;15,9682130846;13,7075222881;11,9106520784;12,6759313416;17,1791012748;18,0598169336
21;14,2129295779;13,7743556690;15,5199621807;15,5193883244;13,1486633785;15,3771227436;14,4110495815;12,0792184131;10,6383659466;11,1309546476;13,4512371924;14,2384328979
22;12,4386323621;12,0202463578;13,4719513101;13,9654163312;13,5801368016;15,2841066445;14,0004272830;12,2763387299;10,1853191314;10,5626405301;12,6758252661;12,7715683200
23;11,9609899249;11,5510669750;12,6488290778;14,0535904344;13,1391607695;15,0333368066;13,4514594172;11,5605264481;9,6768556840;9,9623765361;11,6505235468;12,0979428850
