'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;11,2288588;11,03986174;12,46746637;14,10632153;13,01925683;14,2650398;12,68130453;11,02532554;9,883019478;9,655218251;11,38899212;11,59935397
1;10,92886291;11,02032083;12,25344456;13,85482077;12,78989397;13,76673429;12,07734259;10,44862124;9,48886036;9,538830433;11,27873418;11,51839792
2;10,98114356;10,92242393;12,24911286;14,06188538;12,81033284;13,59898099;11,87900229;10,31534506;9,501533128;9,546123045;11,28309641;12,07927135
3;11,2411601;10,89857958;12,37374778;13,99775152;12,96570598;11,30549906;11,28808252;10,50562968;9,534216561;9,873015729;11,38047717;11,76226475
4;11,9899831;11,64459184;12,90873774;15,25215139;14,96532829;10,45192117;11,39519097;10,63274347;10,12192728;10,96705696;11,41742381;11,83086404
5;13,83170905;13,65540017;14,56366578;15,01146403;15,718151;11,12683621;10,58147385;11,71137174;11,31968951;12,36327767;13,5975909;13,99676342
6;14,33933811;14,19559705;16,39517338;18,38375611;18,29658277;16,02468326;14,90448348;16,08678006;16,67829216;18,05450486;15,0963664;16,07143514
7;19,49608883;19,21720025;19,30864304;17,88328218;16,92322931;16,13831439;16,49501133;17,70290969;17,24799127;19,19743868;20,10711056;20,96503886
8;19,46594127;18,76604803;19,33113247;18,09155225;17,45604724;18,41550737;19,83418919;18,41376139;17,68114625;19,50488253;20,79877343;21,09839562
9;21,15721533;19,97993805;20,15638813;18,65561363;18,84713941;19,26013539;20,71789578;20,39145654;18,46223908;19,32062202;21,21242608;21,65411736
10;19,94465432;19,19301749;20,12710973;19,58653075;19,73988463;20,35205866;22,16761736;21,97984795;19,45774761;19,9139222;19,70850513;20,3160462
11;20,6048666;20,12493958;20,8132833;19,9611173;19,47391927;19,94267229;21,71098265;22,22914039;19,61633629;19,48323293;20,08584774;20,35163963
12;19,34288001;19,0021971;20,05691596;18,14928912;16,2824672;16,25855981;18,48338036;17,27176451;14,33101463;16,73871631;19,96457998;20,95947449
13;17,50157015;17,09310784;17,71787208;16,48620035;13,24077325;13,88454088;15,49666627;14,33616503;11,20188304;13,89101319;17,55213232;18,56646382
14;13,62920666;13,64405659;15,43199775;17,77679932;14,39822904;15,27428438;16,88873407;14,43170748;12,49791359;15,16174642;14,02855403;15,11389275
15;15,49084744;15,78882755;16,70694688;20,13148337;18,38455057;21,05440642;22,89605665;22,39599654;18,91737809;20,11870533;16,09833722;17,2965835
16;20,98200156;19,72051176;20,3168951;19,31895941;20,21455541;20,43954118;23,59443644;22,49886279;19,11253905;18,30952434;22,04092525;22,04664926
17;20,93132648;19,44137833;19,34684239;17,54391038;20,19295801;20,67648334;24,45801874;23,53707572;20,03420386;17,09533834;22,20538676;22,3281625
18;19,64107668;19,01181517;18,63789988;17,37114143;19,3222819;21,77050495;24,14773499;22,52624247;20,18478943;16,66888122;20,66677789;20,8670984
19;19,44591883;18,9162911;19,17633657;16,75168266;14,36599065;18,21721079;19,75661243;17,25062961;14,53231867;14,84081813;20,14274203;20,63288536
20;16,10415003;15,78736422;17,24010722;15,83615947;12,15878861;16,82030087;17,10325045;12,89069842;11,56410167;12,33780309;17,36839888;17,664505
21;12,95128684;12,84910654;14,7059467;15,19201956;12,92769729;15,20873383;15,53705679;11,74848523;10,54995955;10,72272287;13,38645459;14,1364979
22;11,69864884;11,43909036;13,56130572;14,41579906;13,41488006;14,72759913;15,65964047;11,61680249;10,34646242;10,45648679;12,37651774;12,93993556
23;11,34370729;11,22287735;12,84378034;13,78427434;12,77887284;13,6542835;13,88265279;11,6490436;9,634680508;9,94030731;11,74271828;12,58670989
