Latitude (decimal degrees):	44.701
Longitude (decimal degrees):	7.972
Elevation (m):	181
Radiation database:	PVGIS-SARAH


Slope: 40 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	45.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0010,0.0,0.0,0.0,4.28,1.43,0.0
20160101:0110,0.0,0.0,0.0,3.84,1.47,0.0
20160101:0210,0.0,0.0,0.0,3.4,1.51,0.0
20160101:0310,0.0,0.0,0.0,2.96,1.54,0.0
20160101:0410,0.0,0.0,0.0,3.04,1.62,0.0
20160101:0510,0.0,0.0,0.0,3.12,1.69,0.0
20160101:0610,0.0,0.0,0.0,3.2,1.77,0.0
20160101:0710,0.0,0.0,0.0,4.01,1.49,0.0
20160101:0810,852.75,34.61,8.25,4.81,1.22,0.0
20160101:0910,224.55,14.92,15.03,5.61,0.95,0.0
20160101:1010,0.0,0.0,0.0,6.42,0.77,0.0
20160101:1110,0.0,0.0,0.0,7.23,0.58,0.0
20160101:1210,19.8,6.56,21.71,8.05,0.4,0.0
20160101:1310,25.2,6.84,18.61,7.61,0.72,0.0
20160101:1410,0.0,3.84,13.18,7.17,1.04,0.0
20160101:1510,8469.45,231.71,5.89,6.74,1.37,0.0
20160101:1610,0.0,0.0,0.0,5.96,1.37,0.0
20160101:1710,0.0,0.0,0.0,5.18,1.38,0.0
20160101:1810,0.0,0.0,0.0,4.41,1.39,0.0
20160101:1910,0.0,0.0,0.0,4.12,1.18,0.0
20160101:2010,0.0,0.0,0.0,3.84,0.97,0.0
20160101:2110,0.0,0.0,0.0,3.56,0.76,0.0
20160101:2210,0.0,0.0,0.0,3.44,1.14,0.0
20160101:2310,0.0,0.0,0.0,3.32,1.51,0.0
20160102:0010,0.0,0.0,0.0,3.19,1.89,0.0
20160102:0110,0.0,0.0,0.0,3.0,1.78,0.0
20160102:0210,0.0,0.0,0.0,2.8,1.68,0.0
20160102:0310,0.0,0.0,0.0,2.6,1.57,0.0
20160102:0410,0.0,0.0,0.0,2.59,1.56,0.0
20160102:0510,0.0,0.0,0.0,2.58,1.55,0.0
20160102:0610,0.0,0.0,0.0,2.57,1.54,0.0
20160102:0710,0.0,0.0,0.0,2.99,1.79,0.0
20160102:0810,855.9,34.52,8.26,3.41,2.04,0.0
20160102:0910,14763.6,377.5,15.07,3.83,2.29,0.0
20160102:1010,0.0,0.0,0.0,3.73,2.35,0.0
20160102:1110,0.0,0.0,0.0,3.63,2.41,0.0
20160102:1210,0.0,0.0,0.0,3.53,2.47,0.0
20160102:1310,626.4,27.48,18.73,3.77,2.51,0.0
20160102:1410,0.0,0.0,0.0,4.01,2.56,0.0
20160102:1510,119.7,11.25,6.02,4.26,2.61,0.0
20160102:1610,0.0,0.0,0.0,3.92,2.46,0.0
20160102:1710,0.0,0.0,0.0,3.58,2.32,0.0
20160102:1810,0.0,0.0,0.0,3.25,2.18,0.0
20160102:1910,0.0,0.0,0.0,2.92,2.06,0.0
20160102:2010,0.0,0.0,0.0,2.59,1.93,0.0
20160102:2110,0.0,0.0,0.0,2.26,1.81,0.0
20160102:2210,0.0,0.0,0.0,2.05,2.11,0.0
20160102:2310,0.0,0.0,0.0,1.84,2.41,0.0
20160103:0010,0.0,0.0,0.0,1.62,2.72,0.0
20160103:0110,0.0,0.0,0.0,1.75,2.61,0.0
20160103:0210,0.0,0.0,0.0,1.87,2.51,0.0
20160103:0310,0.0,0.0,0.0,1.99,2.4,0.0
20160103:0410,0.0,0.0,0.0,1.53,2.47,0.0
20160103:0510,0.0,0.0,0.0,1.07,2.55,0.0
20160103:0610,0.0,0.0,0.0,0.6,2.62,0.0
