PV size  (kW);Battery size  (kWh);Opt. did not work in *values fixed;Opt. infeasible in *minor issue;SSI  (%);SCI  (%);Shared energy  (kWh/year);PV production  (kWh/year);Consumption  (kWh/year);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
10.0;20.0;;;98.41;73.07;10130.7;13864.5;10294.2;3140.1;163.5;6968.5;6374.8
10.0;30.0;;;99.19;73.65;10210.7;13864.5;10294.2;2998.7;83.4;7419.4;6764.3
10.0;40.0;;;99.17;73.64;10209.2;13864.5;10294.2;2966.6;85.0;7437.9;6749.2
15.0;20.0;;;99.53;49.26;10245.4;20796.8;10294.2;9859.5;48.8;8179.1;7487.1
15.0;30.0;;;100.00;49.50;10294.2;20796.8;10294.2;9716.4;0.0;8981.7;8195.5
15.0;40.0;;;100.00;49.50;10294.2;20796.8;10294.2;9671.8;0.0;9042.2;8211.3
20.0;20.0;;;99.76;37.04;10269.5;27729.1;10294.2;16736.6;24.7;8559.6;7836.7
20.0;30.0;;;100.00;37.12;10294.2;27729.1;10294.2;16606.4;0.0;9493.4;8664.9
20.0;40.0;;;100.00;37.12;10294.2;27729.1;10294.2;16554.3;0.0;9673.5;8792.8
25.0;20.0;;;99.86;29.66;10279.9;34661.4;10294.2;23644.2;14.3;8742.0;8004.7
25.0;30.0;;;100.00;29.70;10294.2;34661.4;10294.2;23521.6;0.0;9717.8;8872.2
25.0;40.0;;;100.00;29.70;10294.2;34661.4;10294.2;23464.5;0.0;9934.5;9031.8
30.0;20.0;;;99.93;24.73;10287.4;41593.6;10294.2;30557.9;6.7;8875.7;8127.4
30.0;30.0;;;100.00;24.75;10294.2;41593.6;10294.2;30447.5;0.0;9790.1;8938.1
30.0;40.0;;;100.00;24.75;10294.2;41593.6;10294.2;30388.7;0.0;10046.9;9136.1
