PV size  (kW);Battery size  (kWh);Opt. did not work in *values fixed;Opt. infeasible in *minor issue;SSI  (%);SCI  (%);Shared energy  (kWh/year);PV production  (kWh/year);Consumption  (kWh/year);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
40.0;10.0;;'Jan, wd
Jan, we
Feb, wd
Feb, we
Mar, wd
Sep, wd
Oct, wd
Nov, wd
Nov, we
Dec, wd
Dec, we';31.43;98.43;54555.4;55425.3;173602.4;778.9;119047.1;1054.3;963.3
40.0;15.0;;'Jan, wd
Jan, we
Feb, wd
Feb, we
Mar, wd
Sep, wd
Oct, wd
Nov, wd
Nov, we
Dec, wd
Dec, we';31.62;99.04;54893.1;55425.3;173602.4;408.3;118709.3;1426.7;1302.7
40.0;20.0;;'Jan, wd
Jan, we
Feb, wd
Feb, we
Mar, wd
Sep, wd
Oct, wd
Nov, wd
Nov, we
Dec, wd
Dec, we';31.75;99.46;55126.4;55425.3;173602.4;151.2;118476.0;1685.4;1537.8
40.0;25.0;;'Jan, wd
Jan, we
Feb, wd
Feb, we
Mar, wd
Sep, wd
Oct, wd
Nov, wd
Nov, we
Dec, wd
Dec, we';31.82;99.65;55233.6;55425.3;173602.4;31.3;118368.9;1807.1;1646.6
40.0;30.0;Oct, we;'Jan, wd
Jan, we
Feb, wd
Feb, we
Mar, wd
Sep, wd
Oct, wd
Nov, wd
Nov, we
Dec, wd
Dec, we';31.26;97.91;54264.3;55425.3;173602.4;4.4;116214.3;1825.1;1660.6
