PV size  (kW);Battery size  (kWh);SSI  (%);SCI  (%);Shared energy  (kWh/year);PV production  (kWh/year);Consumption  (kWh/year);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh);NPV (€);IRR (%);Energy Sales Next 20 Years (€);Producer Contributions Next 20 Years (€);Non-Producer Contributions Next 20 Years (€);PCR Yearly (%);PBT (Years)
40.0;0.0;47.36;58.02;32157.9;55425.3;67894.9;23267.4;35737.0;0.0;0.0;39244;12.05;21517.6;76252.8;0.0;10.1;8
40.0;5.0;49.12;60.18;33352.9;55425.3;67894.9;21961.6;34542.0;1306.0;1195.1;38035;11.17;20310.0;79086.3;0.0;9.8;8
40.0;10.0;50.80;62.23;34488.9;55425.3;67894.9;20719.7;33406.0;2548.1;2331.4;36759;10.38;19161.5;81780.1;0.0;9.6;9
40.0;15.0;52.42;64.21;35587.4;55425.3;67894.9;19518.9;32307.5;3749.1;3430.0;35442;9.67;18051.1;84384.7;0.0;9.3;9
40.0;20.0;53.92;66.05;36606.5;55425.3;67894.9;18404.5;31288.4;4863.7;4449.4;34035;9.01;17020.5;86801.3;0.0;9.0;10
45.0;0.0;48.89;53.24;33194.4;62353.4;67894.9;29159.0;34700.5;0.0;0.0;40607;11.33;26966.2;78710.6;0.0;11.1;8
45.0;5.0;50.95;55.48;34594.3;62353.4;67894.9;27630.0;33300.6;1529.0;1399.9;39627;10.62;25552.2;82030.1;0.0;10.9;9
45.0;10.0;52.96;57.67;35958.0;62353.4;67894.9;26140.5;31936.9;3018.6;2763.6;38607;9.98;24174.7;85263.7;0.0;10.7;9
45.0;15.0;54.68;59.54;37128.2;62353.4;67894.9;24861.5;30766.7;4297.5;3933.8;37370;9.37;22991.9;88038.5;0.0;10.5;9
45.0;20.0;56.34;61.34;38248.9;62353.4;67894.9;23636.3;29646.0;5522.7;5054.5;36077;8.80;21858.8;90695.8;0.0;10.2;10
50.0;0.0;49.98;48.98;33936.7;69281.6;67894.9;35344.9;33958.2;0.0;0.0;41621;10.69;32686.9;80470.8;0.0;12.0;9
50.0;5.0;52.09;51.04;35364.5;69281.6;67894.9;33785.3;32530.4;1559.6;1427.8;40672;10.08;31244.5;83856.3;0.0;11.8;9
50.0;10.0;54.16;53.08;36774.8;69281.6;67894.9;32244.7;31120.1;3100.1;2838.1;39704;9.53;29819.9;87200.4;0.0;11.6;9
50.0;15.0;56.19;55.07;38150.1;69281.6;67894.9;30742.4;29744.8;4602.5;4213.3;38696;9.02;28430.5;90461.4;0.0;11.5;10
50.0;20.0;58.20;57.04;39516.5;69281.6;67894.9;29249.6;28378.4;6095.2;5579.8;37679;8.56;27050.0;93701.6;0.0;11.3;10
55.0;0.0;50.84;45.29;34519.1;76209.8;67894.9;41690.6;33375.8;0.0;0.0;42444;10.12;38555.4;81851.8;0.0;12.8;9
55.0;5.0;52.98;47.20;35973.8;76209.8;67894.9;40101.4;31921.1;1589.2;1454.7;41526;9.59;37085.7;85301.1;0.0;12.6;9
55.0;10.0;55.13;49.11;37428.5;76209.8;67894.9;38512.4;30466.4;3178.2;2909.4;40607;9.11;35616.2;88750.5;0.0;12.5;10
55.0;15.0;57.22;50.98;38852.1;76209.8;67894.9;36956.6;29042.8;4734.0;4332.9;39653;8.67;34177.4;92126.1;0.0;12.3;10
55.0;20.0;59.27;52.80;40239.1;76209.8;67894.9;35441.8;27655.8;6248.8;5720.0;38659;8.26;32776.5;95415.1;0.0;12.2;10
60.0;0.0;51.48;42.04;34953.4;83137.9;67894.9;48184.5;32941.5;0.0;0.0;43092;9.61;44561.0;82881.5;0.0;13.6;9
60.0;5.0;53.62;43.79;36407.8;83137.9;67894.9;46595.2;31487.1;1589.4;1454.4;42173;9.15;43091.1;86330.1;0.0;13.4;10
60.0;10.0;55.77;45.54;37862.4;83137.9;67894.9;45006.0;30032.5;3178.5;2909.0;41254;8.72;41621.5;89779.4;0.0;13.3;10
60.0;15.0;57.91;47.29;39316.9;83137.9;67894.9;43417.0;28578.0;4767.5;4363.5;40335;8.33;40152.0;93228.3;0.0;13.1;10
60.0;20.0;60.05;49.04;40771.4;83137.9;67894.9;41828.2;27123.5;6356.3;5818.0;39417;7.96;38682.6;96677.2;0.0;13.0;10
