PV size  (kW);Battery size  (kWh);SSI  (%);SCI  (%);Shared energy  (kWh/year);PV production  (kWh/year);Consumption  (kWh/year);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh);NPV (€);IRR (%);Energy Sales Next 20 Years (€);Producer Contributions Next 20 Years (€);Non-Producer Contributions Next 20 Years (€);PCR Yearly (%)
40.0;10.0;33.98;96.42;53439.8;55425.3;157248.6;1865.8;103808.7;1402.5;1282.8;33436;9.77;1725.4;95037.4;31679.1;11.9
40.0;12.5;34.15;96.89;53699.2;55425.3;157248.6;1582.1;103549.4;1686.9;1543.0;32327;9.33;1463.1;95498.7;31832.9;11.9
40.0;15.0;34.31;97.34;53953.0;55425.3;157248.6;1304.2;103295.6;1965.6;1797.5;31215;8.91;1206.1;95950.0;31983.3;12.0
40.0;17.5;34.45;97.75;54179.8;55425.3;157248.6;1055.8;103068.7;2214.9;2025.2;30086;8.50;976.4;96353.4;32117.8;12.0
40.0;20.0;34.59;98.15;54397.8;55425.3;157248.6;817.0;102850.7;2454.5;2244.1;28951;8.11;755.6;96741.1;32247.0;12.0
45.0;10.0;36.82;92.86;57900.8;62353.4;157248.6;4300.7;99347.8;1799.0;1647.0;36679;9.70;3977.3;102970.8;34323.6;13.2
45.0;12.5;37.05;93.42;58253.0;62353.4;157248.6;3915.7;98995.6;2184.6;1999.8;35629;9.31;3621.2;103597.1;34532.4;13.2
45.0;15.0;37.27;93.99;58605.0;62353.4;157248.6;3530.9;98643.6;2569.9;2352.4;34580;8.94;3265.4;104223.2;34741.1;13.2
45.0;17.5;37.48;94.52;58937.3;62353.4;157248.6;3167.6;98311.2;2933.8;2685.3;33517;8.58;2929.4;104814.2;34938.1;13.3
45.0;20.0;37.67;95.00;59237.2;62353.4;157248.6;2839.7;98011.4;3262.3;2985.8;32434;8.24;2626.1;105347.4;35115.8;13.3
50.0;10.0;39.23;89.05;61692.3;69281.6;157248.6;7415.3;95556.3;2062.1;1888.1;39459;9.56;6857.7;109713.6;36571.2;14.4
50.0;12.5;39.52;89.69;62136.8;69281.6;157248.6;6929.8;95111.7;2548.2;2333.2;38468;9.21;6408.7;110504.2;36834.7;14.4
50.0;15.0;39.80;90.33;62580.3;69281.6;157248.6;6445.1;94668.3;3033.3;2777.2;37477;8.88;5960.5;111292.8;37097.6;14.4
50.0;17.5;40.07;90.95;63008.4;69281.6;157248.6;5977.4;94240.1;3501.6;3205.9;36475;8.57;5527.9;112054.2;37351.4;14.5
50.0;20.0;40.30;91.48;63378.9;69281.6;157248.6;5572.5;93869.7;3907.1;3576.8;35437;8.26;5153.4;112713.0;37571.0;14.5
55.0;10.0;41.24;85.10;64852.5;76209.8;157248.6;11171.8;92396.1;2193.2;2007.7;41804;9.37;10331.7;115333.6;38444.5;15.5
55.0;12.5;41.55;85.73;65336.5;76209.8;157248.6;10642.9;91912.0;2722.6;2492.3;40838;9.06;9842.5;116194.5;38731.5;15.5
55.0;15.0;41.85;86.35;65809.4;76209.8;157248.6;10125.7;91439.2;3240.3;2965.7;39864;8.76;9364.2;117035.5;39011.8;15.6
55.0;17.5;42.15;86.97;66283.3;76209.8;157248.6;9608.5;90965.3;3758.0;3440.0;38892;8.48;8885.9;117878.1;39292.7;15.6
55.0;20.0;42.45;87.58;66746.6;76209.8;157248.6;9102.3;90501.9;4264.7;3903.9;37913;8.20;8417.8;118702.2;39567.4;15.7
60.0;10.0;43.05;81.42;67690.0;83137.9;157248.6;15255.8;89558.6;2273.0;2080.9;43925;9.17;14108.6;120379.8;40126.6;16.6
60.0;12.5;43.37;82.03;68199.4;83137.9;157248.6;14699.3;89049.2;2829.8;2590.6;42975;8.89;13593.9;121285.8;40428.6;16.6
60.0;15.0;43.69;82.64;68708.8;83137.9;157248.6;14142.8;88539.7;3386.6;3100.3;42025;8.62;13079.3;122191.8;40730.6;16.7
60.0;17.5;44.01;83.24;69202.5;83137.9;157248.6;13603.5;88046.1;3926.2;3594.3;41066;8.36;12580.5;123069.7;41023.2;16.7
60.0;20.0;44.32;83.83;69695.9;83137.9;157248.6;13064.5;87552.6;4465.6;4088.0;40106;8.11;12082.0;123947.3;41315.8;16.8
