Month;Week-day;Weekend-day;SSI  (%);SCI  (%);Shared energy  (kWh);PV production  (kWh);Consumption  (kWh);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh)
January;Infeasible;Optimal;40.00;88.72;2854.3;3217.1;7135.1;356.6;4280.8;70.0;63.8
February;Optimal;Optimal;49.73;85.58;2897.7;3386.0;5827.2;472.8;2929.4;185.7;170.2
March;Optimal;Optimal;52.20;68.28;3459.8;5066.8;6627.5;1584.3;3167.7;269.8;247.1
April;Optimal;Optimal;51.94;63.93;3284.3;5137.3;6323.7;1830.9;3039.4;261.2;239.1
May;Optimal;Optimal;54.27;58.56;3339.7;5703.0;6154.4;2340.3;2814.7;270.0;247.0
June;Optimal;Optimal;47.33;45.22;2569.9;5682.9;5429.9;3090.8;2860.1;261.4;239.1
July;Optimal;Optimal;49.42;39.71;2495.5;6284.8;5050.1;3766.2;2554.5;270.2;247.0
August;Optimal;Optimal;57.58;49.58;2967.1;5984.0;5153.0;2994.0;2185.9;270.0;247.1
September;Optimal;Optimal;62.22;73.16;3703.1;5061.3;5951.1;1336.3;2248.1;261.0;239.1
October;Optimal;Optimal;49.60;89.26;3431.6;3844.5;6917.8;403.4;3486.2;111.8;102.2
November;Infeasible;Optimal;36.31;90.59;2639.1;2913.2;7268.0;267.9;4629.0;70.0;63.7
December;Optimal;Optimal;38.40;86.93;2733.6;3144.4;7118.2;402.8;4384.6;91.3;83.3

Year;/;/;48.53;65.63;36375.5;55425.3;74956.0;18846.1;38580.4;2392.3;2188.7
